
Geneid	SRR28411569	SRR28411570	SRR28411571	SRR28411572
YDL246C	4	4	0	6
YDL243C	524	440	244	382
YDR387C	3997	3578	1511	1833
YDL094C	80	64	19	68
YDR438W	838	650	410	602
YDR523C	42	48	45	42
YDR542W	33	11	0	2
YDR492W	1859	1686	1558	2862
YDR018C	950	794	188	309
YDL189W	505	369	298	522
YDR508C	3554	2383	1068	2134
YDR462W	655	629	216	423
YDR175C	1536	1409	823	1062
YDR186C	2589	2073	1896	2620
YDR150W	2585	1745	1471	2636
YDR243C	567	496	370	555
YDL182W	1204	1079	1267	1811
YDR362C	1255	1030	679	1061
YDR232W	10771	8590	7623	8671
YDR158W	13021	10750	15019	17353
YDR439W	137	98	58	68
YDL206W	3184	3067	725	1264
YDR125C	760	635	185	388
YDR338C	2730	2297	1319	1569
YDR526C	5	6	2	0
YDR533C	3882	3905	1218	1771
YDR272W	2325	1968	1039	1682
YDR197W	1042	936	512	645
YDR512C	567	541	150	327
YDR489W	496	426	265	471
YDR299W	356	331	558	777
YDL015C	15071	14533	5411	10700
YDR304C	15810	13727	9686	11902
YDR271C	1	0	1	1
YDL181W	3742	3416	1650	1732
YDR367W	1563	1313	1032	1592
YDR085C	1408	1192	310	423
YDL097C	3053	2610	1317	1586
YDL139C	200	141	125	122
YDR200C	813	678	249	434
YDR191W	484	408	210	328
YDR451C	1600	1390	654	1046
YDR469W	402	429	209	453
YDR470C	1722	1375	555	963
YDR105C	5773	4771	1898	3576
YDR483W	14704	12387	7445	12761
YDL123W	284	226	133	125
YDL199C	1668	1360	251	442
YDR505C	5719	4826	1183	1867
YDL045W-A	802	709	206	478
YDL045C	1109	939	516	667
YDR361C	661	639	1014	1537
YDR406W-A	47	24	2	32
YDR199W	11	12	1	5
YDR266C	1824	1539	1187	1433
YDL242W	151	124	86	72
YDR002W	6835	6184	8676	7767
YDR214W	7720	6607	2724	2820
YDR130C	582	531	271	449
YDL176W	836	551	374	538
YDR358W	2411	1926	582	859
YDR544C	0	0	0	0
YDR460W	339	307	161	250
snR84	72679	76795	46507	39104
YDR034W-B	202	333	4	17
YDL028C	1441	1240	762	1010
YDR061W	3046	2602	1342	1685
YDR060W	2386	2183	5563	5404
YDR169C-A	53	46	28	43
YDR363W	510	419	438	431
YDR422C	3057	2803	1607	2306
YDR119W	5767	5198	4057	6764
tR(ACG)D	32	37	12	24
YDR097C	1587	1498	1208	1817
YDR042C	237	220	9	81
YDL160C	6490	5816	3812	4842
YDR425W	297	251	70	163
snR13	567	518	190	813
YDR228C	1078	988	373	547
YDR319C	1141	1234	423	690
YDR471W	7376	6790	17606	14663
YDR089W	4518	3946	2813	3211
tD(GUC)D	2	3	5	6
YDR275W	1075	917	534	707
YDR043C	1135	1065	146	424
YDR129C	11767	9993	6381	8491
YDR136C	62	40	23	38
YDL066W	17540	14663	9350	13211
YDR302W	1955	1810	1074	1958
YDR239C	560	535	506	551
YDR539W	2682	2269	1669	2344
tK(CUU)D1	5	1	0	3
YDL125C	5842	4974	2964	5445
YDR493W	607	577	465	460
YDR101C	2397	2143	3655	5760
YDR182W-A	93	114	22	59
YDR212W	8035	6599	6726	9879
YDR476C	949	723	832	734
YDL131W	3740	3473	2745	3944
YDR458C	1264	1212	927	1149
YDR081C	1317	1195	765	1186
YDL071C	83	40	37	49
YDR113C	425	310	160	224
YDR168W	3739	3191	2128	2394
YDR520C	649	559	344	608
YDR307W	3133	3196	1387	2028
YDR265W	719	644	363	502
YDL076C	842	733	339	628
YDL006W	1560	1379	813	984
YDL086W	2006	1681	1732	1393
YDR238C	14907	12762	11491	12975
YDR077W	12185	6626	2212	5432
YDR381C-A	492	442	143	350
YDL023C	15	27	2	12
YDL083C	9038	7678	16130	18899
YDR036C	1377	1216	593	1191
YDR057W	1289	1076	672	895
YDR513W	7404	6788	1640	2364
YDR487C	4476	4143	3043	4344
YDR066C	310	331	247	311
YDR352W	1303	1192	1079	1945
YDR278C	5	6	0	2
YDR079C-A	331	271	132	190
YDR204W	4376	3860	1793	1738
YDL247W-A	144	136	20	38
YDL024C	370	312	125	180
tA(AGC)D	3	0	1	8
YDR109C	776	601	376	598
YDR466W	1162	865	398	661
YDR427W	5728	5991	1945	3259
YDL044C	576	478	452	518
YDL079C	1611	1148	589	890
YDR193W	0	0	0	0
YDR305C	796	586	275	477
YDR377W	6955	6394	1523	3978
YDR219C	1274	1231	489	699
YDR416W	1019	912	800	1161
YDR365C	6278	5418	3004	3609
YDL233W	417	331	127	207
YDR287W	352	331	134	208
YDR448W	903	770	640	946
YDR180W	2328	2231	1215	1785
tF(GAA)D	16	19	3	13
tT(AGU)D	10	7	5	9
YDR294C	2772	2232	1608	2236
YDR198C	695	625	399	648
YDL163W	0	2	0	0
YDL119C	332	375	84	230
YDR501W	408	331	148	247
YDL214C	360	332	174	177
YDR264C	9394	8591	6287	6537
YDR343C	8799	6498	926	1181
YDR373W	2383	2237	1630	1937
YDR354W	1867	1443	1353	2013
YDR246W	437	457	140	288
YDR428C	626	624	761	926
YDR157W	28	17	10	31
YDR316W	331	252	142	303
YDL142C	1545	1304	501	795
YDR253C	319	263	96	170
YDL112W	2710	2224	2006	3582
YDR545W	21	16	0	7
YDL187C	0	1	0	5
YDL138W	1693	1412	568	949
YDR528W	329	272	138	289
YDR284C	4409	4107	2605	3016
YDR050C	124479	97773	171977	157654
YDL010W	140	133	61	100
YDL065C	611	542	406	512
YDR349C	5029	4859	3135	4665
YDL098C	239	219	148	202
YDL234C	4286	3786	1222	1443
YDR118W	785	730	300	531
YDR118W-A	14	7	1	18
YDR159W	1859	1401	911	1555
YDR111C	1304	1090	1240	1250
YDR128W	3366	2633	1512	2236
YDL034W	91	84	21	56
YDR065W	395	421	196	362
YDL004W	9761	8393	2520	4522
YDR024W	163	240	15	137
YDL171C	38623	30319	30106	40258
YDR083W	247	196	376	643
YDR457W	13648	10867	9041	13731
YDR014W	463	435	252	386
YDR206W	2997	2562	2259	3311
YDR478W	113	91	126	160
YDR169C	575	373	247	362
YDR115W	1263	1070	640	1042
YDL159W-A	22	55	0	23
YDL232W	1351	1312	456	840
YDL240C-A	3	1	0	5
tE(CUC)D	0	0	0	0
YDL152W	0	1	0	0
YDR432W	1035	840	806	678
YDL022C-A	34	42	25	17
YDL114W-A	0	0	0	0
YDR410C	1344	1459	747	1265
YDR464C-A	0	0	0	0
YDL072C	8451	7549	2338	3929
YDR053W	12	7	9	8
YDL012C	380	417	151	304
YDR482C	233	177	227	188
YDL070W	2291	2103	2785	2221
YDR064W	21068	18180	50463	42163
YDL135C	1358	1160	848	1119
YDL077C	2308	2020	996	1486
YDR354C-A	0	0	0	0
YDL033C	525	413	345	487
YDL031W	1093	933	1471	2143
YDR398W	1723	1505	2383	2920
YDR326C	3999	3398	2819	4397
YDL052C	3495	2671	2209	2715
YDR536W	383	356	164	241
YDR397C	12	18	5	18
YDL116W	3066	2572	1930	2809
YDR028C	4277	3503	2597	2933
YDL007W	2034	1649	934	1319
YDR236C	1594	1395	1050	1602
YDR011W	13448	11560	7015	10409
YDR155C	30011	26756	15833	23962
YDR414C	689	716	614	892
YDR026C	711	619	548	658
YDL073W	2007	1712	1043	1519
tY(GUA)D	16	8	1	7
YDL115C	563	558	332	396
YDL145C	29167	24735	17440	21797
YDR203W	4	1	0	1
YDL104C	331	295	139	257
YDL149W	2108	1716	565	951
YDR231C	473	417	315	244
YDR045C	654	547	261	691
YDL075W	9215	8175	12529	16214
YDR415C	1276	978	812	1078
YDR339C	949	732	708	936
YDL213C	166	165	194	386
YDR096W	2372	1722	473	894
YDL019C	4328	3397	2084	2450
YDL022W	9775	8091	3461	3413
YDR413C	0	0	0	0
YDR391C	2188	2026	490	987
YDR091C	9506	8060	12349	15256
YDR240C	712	584	381	539
YDL244W	24	49	13	16
YDR179C	60	36	26	42
YDL165W	1239	1063	1060	1032
YDL140C	19467	10119	7005	11310
YDR120C	545	458	514	925
YDR003W	1439	1309	593	861
YDR499W	723	689	339	409
YDR166C	1845	1578	762	1189
YDL092W	1198	1125	802	1165
YDL041W	2	0	0	0
YDL241W	171	163	199	297
YDL082W	8585	7185	21065	16523
YDR277C	1923	1627	915	1384
YDR291W	1269	1097	782	1177
YDR475C	2317	1902	946	1348
YDR244W	1134	1013	489	738
YDR407C	4073	3269	2086	2614
YDR382W	23309	19964	32420	37853
YDR102C	73	60	18	38
YDL188C	3578	2966	1636	2922
YDR405W	346	281	241	270
YDR443C	2276	2256	1005	1613
YDR059C	889	810	173	346
YDR144C	1924	1731	1523	2389
YDL157C	1490	1331	822	1562
YDL058W	3733	3092	2724	3533
YDL096C	3	2	0	0
YDL155W	1297	955	791	1011
YDR147W	1070	976	648	927
YDL191W	8360	7243	12341	12281
YDL128W	6286	5627	2644	4169
YDR310C	1873	1415	1109	1424
YDL160C-A	339	275	181	401
YDR127W	9483	7052	10284	14765
YDR497C	21221	19460	13389	15743
YDL162C	2	3	7	1
tS(AGA)D3	0	1	0	0
YDR201W	267	224	150	184
YDR163W	141	161	49	117
YDL146W	1194	1015	352	791
YDR363W-A	803	648	393	705
YDL221W	56	62	29	42
YDL089W	843	728	245	370
YDR385W	88722	77885	113262	113503
YDR331W	1932	1567	1354	2143
YDR196C	1422	1248	742	879
YDR116C	1709	1292	832	1043
YDR001C	7810	6542	1660	2393
YDL230W	737	537	200	355
YDR160W	2451	2068	931	1285
YDR123C	255	291	165	294
YDR322W	1968	1540	920	1235
YDR040C	1176	1108	1324	905
YDR025W	10420	9167	13903	22398
YDR046C	7852	6223	4018	6208
YDL057W	328	257	164	205
YDL248W	2095	1800	767	767
YDR008C	9	2	0	11
YDR029W	374	318	124	241
YDR485C	586	475	332	461
YDR408C	2549	2304	2732	3587
YDR038C	661	639	652	791
YDL204W	4678	4476	494	837
YDR019C	2295	2221	1952	2229
YDR477W	2301	1803	1231	1327
YDR254W	893	812	279	527
YDR514C	77	94	170	304
YDR296W	1219	1164	772	1073
YDL216C	569	531	184	309
YDL100C	9916	8951	7979	8498
YDL068W	8	7	7	17
YDL026W	5	3	0	3
YDL124W	18348	15771	12296	9343
YDL227C	646	548	1378	1739
YDL111C	1472	1244	660	1157
YDR324C	1331	1215	1523	2305
YDL170W	852	685	340	541
YDR317W	541	462	178	397
YDR436W	1024	826	347	489
YDR208W	1763	1293	838	1363
YDR386W	446	351	148	346
YDR504C	490	525	71	140
YDL220C	528	398	293	478
YDR396W	50	44	8	24
YDR258C	13540	11372	2351	2695
YDR176W	700	551	426	697
YDL099W	383	302	156	303
YDR380W	3064	2726	1680	2434
YDL110C	2002	1903	591	571
YDR148C	11970	10452	5272	5095
YDL201W	1123	1004	2028	1720
YDL107W	504	525	194	347
YDR515W	578	507	308	331
YDR133C	9806	9002	4066	7270
YDR378C	1494	1186	1000	1821
YDR473C	110	83	42	81
YDR403W	150	134	71	133
YDR268W	839	717	572	782
YDR409W	661	459	192	386
YDR173C	971	729	370	360
YDR187C	16	8	4	6
YDR389W	2286	2005	1136	1929
YDR417C	8	2	2	13
YDR165W	1592	1677	1446	2341
YDL113C	1537	1379	630	888
YDR426C	1	5	0	2
YDR521W	1	2	0	0
YDR086C	2616	2472	1669	2235
YDL021W	5950	4777	612	1306
YDR023W	13367	11780	15336	16107
YDR394W	5118	4479	2178	3059
YDR320C-A	765	644	180	530
YDR003W-A	358	328	131	211
YDR183W	311	262	126	250
YDR245W	2323	2123	1994	2395
YDR431W	1	3	0	2
YDL154W	604	466	315	401
YDL184C	2203	2036	1822	3177
YDR153C	666	600	360	461
YDR014W-A	25	21	10	3
YDR434W	3656	3232	1843	2929
YDL002C	564	453	374	388
YDR225W	10217	8748	8728	15385
YDR418W	6129	5632	5254	10980
YDR224C	3231	2541	1662	3061
YDR502C	1612	1585	804	1250
YDR447C	6375	5771	13904	11856
YDL039C	85	74	84	172
YDL225W	1531	1310	1065	1336
YDR259C	71	70	16	24
YDR495C	953	907	298	536
YDL151C	1	0	0	1
YDR357C	1360	1345	286	692
YDR370C	860	852	503	883
YDR298C	12227	10829	4664	6610
YDR276C	6346	5630	1354	4673
YDL185C-A	215	164	105	242
